timestamp,roll,pitch,yaw,gt_roll,gt_pitch,gt_yaw,x,y,z,gt_x,gt_y,gt_z,wx,wy,wz,ax,ay,az,
7.66888,0.320399,0.386648,-39.3146,0,0,23.2601,42.1311,39.8236,-0.382734,32.2243,33.2184,-0.0766765,0.00194661,0.00197981,0.0045725,0.16151,0.755321,9.95031,
7.67388,0.320907,0.387116,-39.3134,0,0,23.2601,42.1345,39.8529,-0.383047,32.2243,33.2184,-0.0766765,0.00153992,0.00133339,0.00410713,0.0904314,0.769719,9.84197,
7.67888,0.321158,0.387518,-39.3121,0,0,23.2601,42.138,39.8824,-0.38336,32.2243,33.2184,-0.0766765,0.000152551,0.00152618,0.00461072,0.172276,0.758879,9.79297,
7.68388,0.321183,0.387979,-39.3108,0,0,23.2601,42.1415,39.9118,-0.383671,32.2243,33.2184,-0.0766765,-4.29153e-05,0.00174209,0.00457183,0.227075,0.77989,9.86965,
7.68888,0.321178,0.388352,-39.3095,0,0,23.2601,42.145,39.9412,-0.383982,32.2243,33.2184,-0.0766765,-5.39795e-05,0.000914633,0.00454534,0.186451,0.731591,9.83799,
7.69388,0.321011,0.388631,-39.3082,0,0,23.2601,42.1485,39.9706,-0.384294,32.2243,33.2184,-0.0766765,-0.00117011,0.00108093,0.00428416,0.297632,0.607856,9.60531,
7.69888,0.320668,0.389032,-39.307,0,0,23.2601,42.152,40.0001,-0.384608,32.2243,33.2184,-0.0766765,-0.00127975,0.00176489,0.00422649,0.294708,0.516027,9.65724,
7.70388,0.320468,0.389361,-39.3057,0,0,23.2601,42.1555,40.0295,-0.384926,32.2243,33.2184,-0.0766765,-0.000180379,0.000584722,0.00477936,0.0750832,0.458267,9.90078,
7.70888,0.32065,0.38934,-39.3043,0,0,23.2601,42.1591,40.059,-0.385242,32.2243,33.2184,-0.0766765,0.00138804,-0.000677258,0.00507373,0.25345,0.390373,9.88021,
7.71388,0.321141,0.38922,-39.3029,0,0,23.2601,42.1626,40.0884,-0.385558,32.2243,33.2184,-0.0766765,0.00197444,-0.000107959,0.00449572,0.288989,0.43923,9.81655,
7.71888,0.321716,0.38923,-39.3017,0,0,23.2601,42.1662,40.1179,-0.385872,32.2243,33.2184,-0.0766765,0.00197411,0.000227317,0.00443537,0.141226,0.485759,9.83646,
7.72388,0.322222,0.389401,-39.3003,0,0,23.2601,42.1698,40.1473,-0.386186,32.2243,33.2184,-0.0766765,0.00149868,0.00102159,0.00481021,0.20178,0.50446,9.85585,
7.72888,0.322708,0.389899,-39.299,0,0,23.2601,42.1734,40.1768,-0.386498,32.2243,33.2184,-0.0766765,0.00183329,0.00250719,0.00427578,0.417978,0.566579,9.93706,
7.73388,0.323204,0.390596,-39.2977,0,0,23.2601,42.177,40.2062,-0.386806,32.2243,33.2184,-0.0766765,0.00156641,0.00241097,0.00520684,0.182055,0.701826,10.1321,
7.73888,0.323515,0.391234,-39.2961,0,0,23.2601,42.1806,40.2357,-0.387108,32.2243,33.2184,-0.0766765,0.000527389,0.00210386,0.00540599,0.126995,0.661332,10.0737,
7.74388,0.323546,0.391918,-39.2946,0,0,23.2601,42.1843,40.2652,-0.387404,32.2243,33.2184,-0.0766765,-0.000382885,0.00273183,0.00545058,0.173301,0.625197,9.89923,
7.74888,0.32349,0.392649,-39.293,0,0,23.2601,42.1879,40.2947,-0.387697,32.2243,33.2184,-0.0766765,-8.58307e-05,0.00243343,0.00565778,-0.0820309,0.592154,9.81824,
7.75388,0.323638,0.393246,-39.2914,0,0,23.2601,42.1916,40.3242,-0.387988,32.2243,33.2184,-0.0766765,0.00104338,0.00179809,0.005465,-0.193231,0.49701,10.0369,
7.75888,0.324212,0.393809,-39.2899,0,0,23.4099,42.1952,40.3537,-0.388273,32.048,33.6298,-0.0722175,0.00289109,0.00219237,0.00489235,0.0825897,0.449847,10.3282,
7.76388,0.325229,0.39453,-39.2885,0,0,23.4099,42.1989,40.3832,-0.388546,32.048,33.6298,-0.0722175,0.00414636,0.00289679,0.00476461,0.191946,0.540558,10.3909,
7.76888,0.32615,0.395477,-39.2872,0,0,23.4099,42.2026,40.4127,-0.388806,32.048,33.6298,-0.0722175,0.00221416,0.00376482,0.00469722,0.141431,0.636429,10.1382,
7.77388,0.326592,0.396717,-39.2859,0,0,23.4099,42.2063,40.4422,-0.389059,32.048,33.6298,-0.0722175,0.000811368,0.00494331,0.00408567,0.242908,0.623092,9.87174,
